tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,2025-11-01,0,0,0.0,0.0
158-2518,กระเบื้องดินเผามุงหลังคา,2025-11-01,0,0,0.0,0.0
1580-2541,บัตรชี้บ่งลักษณะเฉพาะตัว - ลักษณะสมบัติทางกายภาพ,2025-11-01,0,0,0.0,0.0
163-2535,ลวดเหล็กกล้าคาร์บอนต่ำอบอ่อน,2025-11-01,0,0,0.0,0.0
1641-2552,เตาย่าง เตาปิ้ง และเครื่องทำอาหารเคลื่อนย้ายได้ที่คล้ายกัน เฉพาะด้านความปลอดภัย,2025-11-01,31,621,0.9524539862692424,0.04754601219701532
165-2554,สารส้ม,2025-11-01,0,0,0.0,0.0
1651-2541,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : วงกบเหล็กกล้า,2025-11-01,0,0,0.0,0.0
166-2549,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : เต้าเสียบและเต้ารับที่มีแรงดันไฟฟ้าที่กำหนดไม่เกิน 250 โวลต์,2025-11-01,65,160,0.7111111079506173,0.2888888876049383
167-2528,อิฐประดับคัลเซียมซิลิเกตหรืออิฐปูนขาวทราย,2025-11-01,0,0,0.0,0.0
1677-2541,แท่นประทับตรา,2025-11-01,0,0,0.0,0.0
1678-2541,หมึกประทับตรา,2025-11-01,0,0,0.0,0.0
1693-2547,เครื่องทำน้ำร้อนไฟฟ้า น้ำผ่านร้อนทันที เฉพาะด้านความปลอดภัย,2025-11-01,71,135,0.6553398026439815,0.34466019250164953
17-2561,ท่อพีวีซีแข็งสำหรับใช้เป็นท่อน้ำดื่ม,2025-11-01,41,1,0.0238095232426304,0.9761904529478465
173-2529,ยางฟองน้ำลาเทกซ์,2025-11-01,0,0,0.0,0.0
1732-2558,กระจกเงา,2025-11-01,0,0,0.0,0.0
1735-2563,เหล็กกล้าแผ่นม้วนรีดร้อน สำหรับงานท่อ,2025-11-01,14,22,0.611111094135803,0.3888888780864201
1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,2025-11-01,0,0,0.0,0.0
1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,2025-11-01,2,89,0.9780219672744839,0.021978021736505256
175-2562,ไนโตรเจน,2025-11-01,0,0,0.0,0.0
176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,2025-11-01,0,0,0.0,0.0
1773-2548,เตาไมโครเวฟสำหรับใช้ในที่อยู่อาศัย เฉพาะด้านความปลอดภัย,2025-11-01,48,280,0.8536585339827484,0.14634146296847114
1776-2566,มอร์ตาร์สำหรับฉาบ,2025-11-01,0,0,0.0,0.0
1777-2558,แคโพรแล็กแทมสำหรับอุตสาหกรรม,2025-11-01,0,0,0.0,0.0
178-2549,แผ่นไม้อัด,2025-11-01,0,0,0.0,0.0
18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,2025-11-01,0,0,0.0,0.0
181-2530,กาวโพลิไวนิลอะซีเทตอิมัลชัน,2025-11-01,0,0,0.0,0.0
182-2562,สำลีที่ใช้ในการแพทย์,2025-11-01,0,0,0.0,0.0
183-2562,โกลว์สตาร์ตเตอร์สำหรับหลอดฟลูออเรสเซนซ์,2025-11-01,0,1,0.9999990000010001,0.0
1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,2025-11-01,0,0,0.0,0.0
188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,2025-11-01,0,0,0.0,0.0
1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,2025-11-01,30,99,0.7674418545159546,0.23255813773210746
194-2535,ลวดเหล็กกล้าคาร์บอนต่ำ,2025-11-01,0,0,0.0,0.0
1955-2551,บริภัณฑ์ส่องสว่างและบริภัณฑ์ที่คล้ายกัน : ขีดจำกัดสัญญาณรบกวนวิทยุ,2025-11-01,890,4719,0.8413264395005657,0.1586735603211493
